control_id,level,domain,title,requirement,required_platform_level,platform_capabilities,evidence,verification_method,verification_frequency,authority_documents,authority_document_titles,policy_candidate,policy_rule,waiver_allowed,waiver_authority
DSCB-L1-REQ-016,L1,operational_traceability,Operational Traceability,Operational environments SHALL maintain records of deployed software versions and relevant security events.,PRA-Level 1,deployment_records; operational_logging; incident_record_repository,system_logs; deployment_records; incident_records,hybrid,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-001,L2,secure_development_environments,Secure Development Environments,Development environments SHALL be centrally managed.,PRA-Level 2,central_development_environment_management; configuration_baselines; secure_developer_workspace,environment_configuration_records; system_configuration_baselines,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-002,L2,secure_development_environments,Secure Development Environments,Development environments SHALL comply with enterprise security configuration standards.,PRA-Level 2,central_development_environment_management; configuration_baselines; secure_developer_workspace,environment_configuration_records; system_configuration_baselines,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-003,L2,devsecops_platform_access_control,DevSecOps Platform Access Control,Access to DevSecOps platforms SHALL be controlled through centralized identity management,PRA-Level 2,central_iam; rbac; mfa_privileged_access; access_audit_logging,authentication_logs; access_control_configuration,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-004,L2,devsecops_platform_access_control,DevSecOps Platform Access Control,Multi-factor authentication SHALL be enforced for privileged access.,PRA-Level 2,central_iam; rbac; mfa_privileged_access; access_audit_logging,authentication_logs; access_control_configuration,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/access_control.rego,true,CISO
DSCB-L2-REQ-005,L2,dependency_source_control,Dependency Source Control,Software dependencies SHALL be retrieved from approved repositories.,PRA-Level 2,approved_dependency_repositories; dependency_proxy; external_download_prevention,repository_configuration; dependency_management_logs,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-006,L2,dependency_source_control,Dependency Source Control,Direct downloads from external sources SHALL NOT be permitted.,PRA-Level 2,approved_dependency_repositories; dependency_proxy; external_download_prevention,repository_configuration; dependency_management_logs,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/dependency_source_control.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-007,L2,artifact_signing,Artifact Signing,Software artifacts SHALL be cryptographically signed before release.,PRA-Level 2,artifact_signing_service; signing_key_management; signature_verification,artifact_signatures; signing_records,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/artifact_signing.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-008,L2,artifact_signing,Artifact Signing,Signing keys SHALL be protected and managed according to enterprise security policies.,PRA-Level 2,artifact_signing_service; signing_key_management; signature_verification,artifact_signatures; signing_records,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-009,L2,infrastructure_as_code,Infrastructure as Code,Infrastructure used for software deployment SHALL be defined through Infrastructure as Code.,PRA-Level 2,iac_repository; environment_configuration_management; iac_validation,infrastructure_repositories; infrastructure_change_history,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/iac_required.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-010,L2,infrastructure_as_code,Infrastructure as Code,Infrastructure definitions SHALL be maintained in version control.,PRA-Level 2,iac_repository; environment_configuration_management; iac_validation,infrastructure_repositories; infrastructure_change_history,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/iac_required.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-011,L2,pipeline_security_gates,Pipeline Security Gates,DevSecOps pipelines SHALL enforce security gates.,PRA-Level 2,policy_gate_engine; security_threshold_enforcement; release_blocking,pipeline_policy_gate_records; pipeline_execution_logs,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/pipeline_security_gates.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-012,L2,pipeline_security_gates,Pipeline Security Gates,Releases SHALL NOT proceed when defined security thresholds are exceeded.,PRA-Level 2,policy_gate_engine; security_threshold_enforcement; release_blocking,pipeline_policy_gate_records; pipeline_execution_logs,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/pipeline_security_gates.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-013,L2,security_monitoring,Security Monitoring,Operational systems SHALL generate security-relevant events.,PRA-Level 2,security_event_generation; security_event_forwarding; monitoring_integration,security_monitoring_logs; security_event_records,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-014,L2,security_monitoring,Security Monitoring,Security events SHALL be forwarded to monitoring systems.,PRA-Level 2,security_event_generation; security_event_forwarding; monitoring_integration,security_monitoring_logs; security_event_records,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-001,L3,deterministic_builds,Deterministic Builds,Software builds SHALL be reproducible using identical source code and build configuration.,PRA-Level 3,reproducible_build_verification; version_controlled_build_configuration,rebuild_verification_records; build_configuration_records,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-002,L3,deterministic_builds,Deterministic Builds,Build configurations SHALL be version controlled.,PRA-Level 3,reproducible_build_verification; version_controlled_build_configuration,rebuild_verification_records; build_configuration_records,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-003,L3,build_environment_isolation,Build Environment Isolation,Software builds SHALL be executed in isolated build environments.,PRA-Level 3,isolated_build_environment; recreatable_build_environment,build_environment_configuration; pipeline_execution_records,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-004,L3,build_environment_isolation,Build Environment Isolation,Build environments SHALL be recreated for each pipeline execution.,PRA-Level 3,isolated_build_environment; recreatable_build_environment,build_environment_configuration; pipeline_execution_records,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-005,L3,dependency_provenance,Dependency Provenance,Software dependencies SHALL include verifiable provenance information.,PRA-Level 3,provenance_capture; trusted_dependency_sourcing; dependency_records,provenance_metadata; dependency_records,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-006,L3,dependency_provenance,Dependency Provenance,Dependency provenance SHALL be recorded during the build process.,PRA-Level 3,provenance_capture; trusted_dependency_sourcing; dependency_records,provenance_metadata; dependency_records,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-007,L3,trusted_artifact_signing,Trusted Artifact Signing,Software artifacts SHALL be signed using enterprise signing infrastructure.,PRA-Level 3,enterprise_trust_infrastructure; central_signing_key_management; artifact_signature_logs,signing_infrastructure_records; artifact_signature_logs,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-008,L3,trusted_artifact_signing,Trusted Artifact Signing,Signing keys SHALL be centrally managed.,PRA-Level 3,enterprise_trust_infrastructure; central_signing_key_management; artifact_signature_logs,signing_infrastructure_records; artifact_signature_logs,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-009,L3,end_to_end_traceability,End-to-End Traceability,"Traceability SHALL exist between requirements, source code, verification Cases / Procedures and Test result, build artifacts, and deployed software.",PRA-Level 3,end_to_end_traceability; deployment_metadata; evidence_graph,traceability_records; deployment_metadata,hybrid,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-010,L3,runtime_integrity_verification,Runtime Integrity Verification,Runtime environments SHALL verify the integrity of deployed software artifacts.,PRA-Level 3,runtime_integrity_verification; deployment_traceability,runtime_integrity_verification_logs,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,CISO
DSCB-L3-REQ-011,L3,continuous_compliance_evidence,Continuous Compliance Evidence,DevSecOps platforms SHALL generate machine-readable compliance evidence for lifecycle activities.,PRA-Level 3,continuous_compliance_evidence; compliance_evidence_repository; pipeline_audit_logs,compliance_evidence_repository; pipeline_audit_records,automated,release_candidate,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-GOV-REQ-001,GOV,applicability,Applicability,All programs SHALL implement the Level 1 Control Baseline.,Not applicable,governance_workflow; waiver_registry; compliance_reporting,program_control_baseline_assignment; applicability_assessment_record,hybrid,governance_review,DEVSECOPS-POL-001; DSCB-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard,false,,true,DevSecOps Governance Board
DSCB-GOV-REQ-002,GOV,compliance_verification,Compliance Verification,Compliance with this Standard SHALL be verified through:,Not applicable,governance_workflow; waiver_registry; compliance_reporting,maturity_assessment_record; internal_audit_record; architecture_review_record; program_lifecycle_review_record,hybrid,governance_review,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard,false,,true,DevSecOps Governance Board
DSCB-GOV-REQ-003,GOV,compliance_verification,Compliance Verification,Non-compliance requires an approved waiver.,Not applicable,governance_workflow; waiver_registry; compliance_reporting,maturity_assessment_record; internal_audit_record; architecture_review_record; program_lifecycle_review_record,hybrid,governance_review,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard,true,policies/opa/waiver_validity.rego,false,DevSecOps Governance Board
DSCB-GOV-REQ-004,GOV,deviations,Deviations,Deviations from this Standard SHALL follow the waiver process defined in the DevSecOps Directive.,Not applicable,governance_workflow; waiver_registry; compliance_reporting,waiver_record; risk_classification; expiry_record; compensating_controls,hybrid,governance_review,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard,false,,true,DevSecOps Governance Board
DSCB-GOV-REQ-005,GOV,deviations,Deviations,All deviations SHALL:,Not applicable,governance_workflow; waiver_registry; compliance_reporting,waiver_record; risk_classification; expiry_record; compensating_controls,hybrid,governance_review,DEVSECOPS-POL-001; DEVSECOPS-DIR-001; DSCB-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Directive; DevSecOps Control Baseline Standard,true,policies/opa/waiver_validity.rego,false,DevSecOps Governance Board
